1.78,1.96,fatigue
3.07,3.91,fatigue
5.46,6.35,fatigue
7.54,8.23,fatigue
9.20,10.17,fatigue
11.18,12.06,fatigue
13.38,14.40,fatigue
15.73,16.77,fatigue
18.11,19.09,fatigue
22.30,23.52,fatigue
24.47,25.76,fatigue
26.79,28.20,fatigue
29.36,30.71,fatigue
31.83,33.16,fatigue
34.13,35.31,fatigue
36.35,37.68,fatigue
38.77,39.97,fatigue
40.29,42.19,fatigue
42.92,44.18,fatigue
45.01,46.11,fatigue
46.96,48.09,fatigue
48.86,50.19,fatigue
51.00,52.09,fatigue
52.85,53.87,fatigue
54.55,55.73,fatigue
56.33,57.40,fatigue
58.08,59.16,fatigue
59.07,60.87,fatigue
