1.75,2.04,cough
2.44,2.68,cough
3.77,3.88,cough
4.32,4.61,cough
5.85,5.91,cough
7.15,7.21,cough
7.52,7.76,cough
8.00,8.22,cough
9.22,9.43,cough
10.32,10.47,cough
11.54,11.71,cough
12.16,12.31,cough
13.28,13.42,cough
14.59,14.68,cough
16.45,16.53,cough
16.84,17.08,cough
17.40,17.58,cough
18.50,18.57,cough
19.22,19.42,cough
21.77,21.95,cough
22.51,22.75,cough
24.42,24.56,cough
24.94,25.19,cough
25.69,25.86,cough
27.48,27.72,cough
28.18,28.35,cough
30.19,30.25,cough
30.59,30.85,cough
31.24,31.34,cough
33.03,33.14,cough
33.64,33.86,cough
33.03,33.14,cough
35.62,35.73,cough
36.10,36.32,cough
